"","year","NY.GDP.MKTP.KD.ZG"
"1",2021,6.73727712298924
"2",2020,-9.03995341122885
"3",2019,0.483198316597154
"4",2018,0.925810941012742
"5",2017,1.66785904106857
"6",2016,1.29346273155907
"7",2015,0.778304350716581
"8",2014,-0.00454754236383792
"9",2013,-1.84106545088248
"10",2012,-2.98090576823772
"11",2011,0.707333347034435
"12",2010,1.71329583916922
"13",2009,-5.2809372082931
"14",2008,-0.962012840579291
"15",2007,1.48707298036786
"16",2006,1.79063968081796
"17",2005,0.817848973650598
"18",2004,1.42359415817907
"19",2003,0.138626890776507
"20",2002,0.253942998968455
"21",2001,1.95137155605238
"22",2000,3.78695514323979
"23",1999,1.6257275993546
"24",1998,1.81061516197623
"25",1997,1.83021223388438
"26",1996,1.26678480191715
"27",1995,2.88683675924553
"28",1994,2.15102363802566
"29",1993,-0.852805763831867
"30",1992,0.834275453554895
"31",1991,1.53844755776618
"32",1990,1.98577494287171
"33",1989,3.38838345408922
"34",1988,4.19437730753005
"35",1987,3.19196062848015
"36",1986,2.85997186384608
"37",1985,2.79808576720868
"38",1984,3.22585231527985
"39",1983,1.16920349453939
"40",1982,0.413585694627969
"41",1981,0.844227607248143
"42",1980,3.4300164144226
"43",1979,5.95915942625737
"44",1978,3.24013975184891
"45",1977,2.56050084476698
"46",1976,7.12538513712093
"47",1975,-2.09016291535852
"48",1974,5.50014110132227
"49",1973,7.12586230436492
"50",1972,3.69048582478699
"51",1971,1.81810793366802
"52",1970,5.26869297920993
"53",1969,6.09805999558601
"54",1968,6.54455465470546
"55",1967,7.17861246556171
"56",1966,5.98479422519729
"57",1965,3.26802371964163
"58",1964,2.79770227911507
"59",1963,5.60972797819814
"60",1962,6.20365045787146
"61",1961,8.20724591384771
"62",1960,NA
